,property_type,society,sector,price,price_per_sqft,area,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,agePossession,Built_up_area,Carpet_area,Super_built_up_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score
2157,flat,ats kocoon,sector 109,2.2,10023.0,2195.0,Super Built up area 2095(194.63 sq.m.)Built Up area: 1860 sq.ft. (172.8 sq.m.),3,4,3,8.0,North-East,Relatively New,1860.0,,2095.0,0,1,0,0,0,semifurnished,198
2158,flat,vatika gurgaon,sector 83,0.83,6666.0,1245.0,Super Built up area 1245(115.66 sq.m.)Built Up area: 1154 sq.ft. (107.21 sq.m.)Carpet area: 945 sq.ft. (87.79 sq.m.),2,2,2,12.0,North,Relatively New,1154.0,945.0,1245.0,0,0,0,1,0,unfurnished,205
2159,flat,emaar gurgaon greens,sector 102,1.45,8787.0,1650.0,Super Built up area 1650(153.29 sq.m.),3,3,3,7.0,North-East,Relatively New,,,1650.0,0,1,0,0,0,unfurnished,201
2160,flat,shapoorji pallonji joyville gurugram,sector 102,1.77,9195.0,1925.0,Super Built up area 1827(169.73 sq.m.),3,3,3,1.0,North-East,Relatively New,,,1827.0,0,0,0,0,0,unfurnished,192
2161,flat,shapoorji pallonji joyville gurugram,sector 102,0.97,16454.0,590.0,Super Built up area 915(85.01 sq.m.)Carpet area: 589.49 sq.ft. (54.77 sq.m.),2,2,2,10.0,North-East,Relatively New,,589.49,915.0,0,0,0,0,0,unfurnished,192
2162,flat,adani m2k oyster grande,sector 102,2.35,8468.0,2775.0,Super Built up area 2598(241.36 sq.m.),3,3,3,14.0,East,Relatively New,,,2598.0,1,1,0,0,0,semifurnished,207
2163,flat,adani m2k oyster grande,sector 102,1.9,9105.0,2087.0,Super Built up area 1889(175.49 sq.m.),3,4,3,8.0,North-East,Relatively New,,,1889.0,0,1,0,0,0,semifurnished,207
2164,flat,pyramid urban homes 2,sector 86,0.43,8582.0,501.0,Carpet area: 501 (46.54 sq.m.),2,2,1,6.0,North-East,New Property,,501.0,,1,0,0,0,0,unfurnished,99
2165,flat,shree vardhman victoria,sector 70,1.62,8307.0,1950.0,Super Built up area 1950(181.16 sq.m.)Carpet area: 1161 sq.ft. (107.86 sq.m.),3,5,3,9.0,North,Relatively New,,1161.0,1950.0,0,1,0,0,0,unfurnished,70
2166,flat,ss the leaf,sector 85,1.99,8659.0,2298.0,Super Built up area 2408(223.71 sq.m.)Built Up area: 2398 sq.ft. (222.78 sq.m.)Carpet area: 2298 sq.ft. (213.49 sq.m.),3,4,4,17.0,East,Relatively New,2398.0,2298.0,2408.0,0,1,0,0,0,semifurnished,216
2167,flat,shree vardhman victoria,sector 70,1.23,9111.0,1350.0,Super Built up area 1350(125.42 sq.m.),2,2,3,1.0,North-East,Relatively New,,,1350.0,1,0,0,0,0,unfurnished,70
2168,flat,shree vardhman victoria,sector 70,1.63,8358.0,1950.0,Super Built up area 1950(181.16 sq.m.)Carpet area: 1161 sq.ft. (107.86 sq.m.),3,5,3,12.0,East,Relatively New,,1161.0,1950.0,0,1,0,0,0,unfurnished,70
2169,flat,shree vardhman victoria,sector 70,1.64,8384.0,1956.0,Super Built up area 1950(181.16 sq.m.)Carpet area: 1161 sq.ft. (107.86 sq.m.),3,5,3,3.0,North,Relatively New,,1161.0,1950.0,0,1,0,0,0,unfurnished,79
2170,flat,shree vardhman victoria,sector 70,1.25,9259.0,1350.0,Super Built up area 1350(125.42 sq.m.),2,2,3,3.0,East,Relatively New,,,1350.0,1,0,0,0,0,unfurnished,70
2171,flat,sbtl caladium,sector 109,1.9,6219.0,3055.0,Super Built up area 3055(283.82 sq.m.),4,4,3,8.0,North-East,Relatively New,,,3055.0,0,1,0,0,0,unfurnished,192
2172,flat,sbtl caladium,sector 109,1.2,6382.0,1880.0,Super Built up area 1880(174.66 sq.m.),3,2,2,8.0,South,Relatively New,,,1880.0,0,0,0,0,0,semifurnished,199
2173,flat,sbtl caladium,sector 109,1.63,6404.0,2545.0,Super Built up area 2545(236.44 sq.m.),3,3,2,8.0,North-West,Relatively New,,,2545.0,0,1,0,0,0,unfurnished,208
2174,flat,dlf regal gardens,sector 90,1.23,7052.0,1744.0,Super Built up area 1744(162.02 sq.m.),3,3,2,19.0,North,Relatively New,,,1744.0,0,0,0,0,1,unfurnished,6
2175,flat,pyramid urban homes 2,sector 86,0.43,8582.0,501.0,Carpet area: 501 (46.54 sq.m.),2,2,1,6.0,North-East,New Property,,501.0,,0,0,0,0,1,unfurnished,83
2176,flat,ss the leaf,sector 85,1.07,6524.0,1640.0,Super Built up area 1640(152.36 sq.m.),2,2,3,21.0,South,Relatively New,,,1640.0,0,0,0,1,0,unfurnished,85
2177,flat,orris aster court premier,sector 85,1.73,6757.0,2560.0,Super Built up area 2560(237.83 sq.m.)Built Up area: 2017 sq.ft. (187.39 sq.m.),4,5,4,8.0,East,Relatively New,2017.0,,2560.0,0,1,0,0,0,unfurnished,17
2178,flat,orris aster court premier,sector 85,1.45,6839.0,2120.0,Super Built up area 2120(196.95 sq.m.)Built Up area: 1616 sq.ft. (150.13 sq.m.),3,4,2,3.0,North,New Property,1616.0,,2120.0,0,1,0,0,0,unfurnished,17
2179,flat,dlf the primus,sector 82,1.87,10394.0,1799.0,Super Built up area 1799(167.13 sq.m.)Carpet area: 1538 sq.ft. (142.88 sq.m.),3,3,3,31.0,East,Moderately Old,,1538.0,1799.0,0,0,0,1,0,unfurnished,58
2180,flat,dlf the primus,sector 82,1.85,10176.0,1818.0,Super Built up area 1818(168.9 sq.m.)Carpet area: 1538 sq.ft. (142.88 sq.m.),3,3,3,15.0,East,Moderately Old,,1538.0,1818.0,0,0,0,0,1,unfurnished,51
2181,flat,dlf regal gardens,sector 90,1.75,7900.0,2215.0,Super Built up area 2215(205.78 sq.m.),4,4,4,3.0,East,Relatively New,,,2215.0,0,0,0,0,1,unfurnished,13
2182,flat,microtek greenburg,sector 86,1.23,8310.0,1480.0,Super Built up area 1480(137.5 sq.m.),2,2,3,13.0,South,Relatively New,,,1480.0,1,0,0,0,0,unfurnished,13
2183,flat,microtek greenburg,sector 86,1.25,8445.0,1480.0,Super Built up area 1480(137.5 sq.m.),2,2,3,13.0,West,Moderately Old,,,1480.0,1,0,0,0,0,unfurnished,6
2184,flat,experion windchants,sector 112,5.6,11551.0,4848.0,Super Built up area 4848(450.39 sq.m.)Built Up area: 3655.35 sq.ft. (339.59 sq.m.),4,6,4,8.0,North-East,Relatively New,3655.35,,4848.0,0,1,0,0,0,semifurnished,217
2185,flat,bestech park view ananda,sector 81,1.45,8011.0,1810.0,Super Built up area 1810(168.15 sq.m.)Built Up area: 1650 sq.ft. (153.29 sq.m.)Carpet area: 1500 sq.ft. (139.35 sq.m.),3,3,3,8.0,North,Relatively New,1650.0,1500.0,1810.0,0,0,0,0,1,unfurnished,160
